Entity,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Days
Cuba,,,103,,,0.69708,,8
Cyprus,,,131,27719.69,3.885017549,,,
Djibouti,,,43,2936.21,,1.1726,,9
Dominica,,,96,8380.98,,1.5447,,5
Equatorial Guinea,,,50,8927.44,,0.65485,,9
Eritrea,,,30,342.6,,,,
Ethiopia,,,104,953.179,3.375877069,,,
Faroe Islands,,,35,,,0.33769,,5
Fiji,,,49,6379.71,,0.9427,,8
French Polynesia,,,67,,,1.1575,,
"Gambia, The",,,226,755.046,4.14073315,,,
Gibraltar,,,5615,,,0.5388,,
Greenland,,,0,,,0.5534,,
Greda,,,327,11381.38,,,,
Guam,,,307,,,1.14403,,
Guatemala,,,165,4616.85,,0.17311,,
Guernsey,,,,,,,,
Guinea,,,53,981.016,2.766527923,,,
Guya,,,4,5252.05,3.426269634,,,
Haiti,,,411,784.08,2.648886654,,,
Hong Kong,,,6791,49334.35,5.471259582,,,
Iraq,,,92,5738.45,,0.70729,,
Isle of Man,,,149,,,1.9136,,
Jersey,,,,,,,,
Kosovo,,,,4442.36,,1.5511,,
Liberia,,,45,703.826,3.904567143,,,
Liechtenstein,,,238,,,1.4517,,
Madagascar,,,47,463.869,2.762166851,,,
Maldives,,,1802,15562.51,,0.61062,,
Mauritania,,,5,1392.46,2.653240592,,,
Moco,,,19427,,,,,
Montserrat,,,49,,,,,
Nepal,,,198,1047.74,3.04307165,,,
Netherlands Antilles,,,,,,,,
New Caledonia,,,15,,,1.03436,,
Nicaragua,,,51,1919.17,2.800580399,,,
Niger,,,19,405.095,,,,
Palestine,,,820,,,0.67092,,
Papua New Guinea,,,19,2742.27,,,,
Saint Lucia,,,298,,,0.09114,,
Saint Vincent and the Gredines,,,285,,,,,
San Marino,,,556,47279.93,,1.8564,,
Somalia,,,25,,,,,
Sudan,,,23,714.295,,,,
Surime,,,4,6310.95,,0.8318,,
Syria,,,95,,,,,
Taiwan,,,658,24827.9,,0.63067,,
Tanzania,,,63,1104.79,3.498987023,,,
Timor-Leste,,,89,2262.84,,,,
Togo,,,146,671.4,,0.46616,,
Tunisia,,,72,3287.09,3.484548739,1.0105,35.8,15
Uganda,,,189,770.062,3.567911081,,,
United Arab Emirates,,,118,37749.88,,1.06417,,
Uruguay,,,19,17029.25,3.787633754,1.55014,,
Uzbekistan,,,75,1831.57,,0.33522,,
Vatican,,,1820,,,0.1164,,
Zambia,,,24,1307.03,3.986408085,,,
Zimbabwe,,,38,859.953,2.852291689,,,
