Entity,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent
Bahrain,,32.3,2224,25273.15,4.501680145,1.28984,,,1,Asia
Kyrgyzstan,,26.5,33,1292.98,3.121744115,0.7753,26.8,,,Asia
New Zealand,,37.9,18,40634.14,5.228212773,1.3514,36.2,,,Asia
Afghanistan,,,60,513.108,,0.5149,,,,Asia
Azerbaijan,,31.3,117,4689.38,3.804714013,0.869,31.8,,1,Asia
Bangladesh,,,1116,1905.72,2.852616337,,,,,Asia
Bhutan,,27.6,20,3423.05,4.155651468,0.3079,38.7,,,Asia
Brunei,,,76,27871.45,,1.4795,,,,Asia
Cambodia,,25.3,92,1620.64,2.926579304,0.7519,30.8,,1,Asia
Fiji,,,49,6379.71,,0.9427,,,,Asia
French Polynesia,,,67,,,1.1575,,,,Asia
Guam,,,307,,,1.14403,,,,Asia
Hong Kong,,,6791,49334.35,5.471259582,,,,,Asia
Iraq,,,92,5738.45,,0.70729,,,,Asia
Jordan,,22.5,114,4386.61,4.158718249,1.05357,35.4,,1,Asia
Kuwait,,29.3,240,29266.98,3.493208686,0.93529,,,,Asia
Maldives,,,1802,15562.51,,0.61062,,,,Asia
Mongolia,,28.3,2,4132.66,3.202003665,0.49109,32.3,,,Asia
Nepal,,,198,1047.74,3.04307165,,,,,Asia
Oman,,25.6,16,17791.03,4.173837,0.8836,,,1,Asia
Palestine,,,820,,,0.67092,,,1,Asia
Papua New Guinea,,,19,2742.27,,,,,,Asia
Syria,,,95,,,,,,1,Asia
Taiwan,,,658,24827.9,,0.63067,,,,Asia
United Arab Emirates,,,118,37749.88,,1.06417,,,1,Asia
Uzbekistan,,,75,1831.57,,0.33522,,,1,Asia
Belarus,,,46,6603.92,,0.74257,,,1,Europe
Croatia,,43,73,14949.76,2.492664975,1.4565,32.3,,,Europe
Lithuania,,43.7,42,19266.79,3.446601478,1.8535,37.7,,,Europe
Albania,,,100,5372.74,,1.15264,,,,Europe
Andorra,,,165,,,1.6794,,,,Europe
Bulgaria,,42.7,63,9518.44,2.978547758,1.26498,37.4,,,Europe
Cyprus,,,131,27719.69,3.885017549,,,,,Europe
Georgia,,38.1,57,4289.32,4.052733487,0.75048,36.5,,,Europe
Gibraltar,,,5615,,,0.5388,,,,Europe
Greenland,,,0,,,0.5534,,,,Europe
Liechtenstein,,,238,,,1.4517,,,,Europe
Macedonia,,37.9,81,,3.881608093,1.5149,35.6,,,Europe
Moldova,,26.3,119,3300.09,2.84528274,1.28295,36.7,,,Europe
