Entity,Entity2,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent,Days,Country,X.Intercept.,log_day,Ztests_per_mil,TL_c,TL_l,TL_h,TL_2,Government.efficiency_c,Government.efficiency_l,Government.efficiency_h,Government.efficiency_2,ZGDP.capita,ZGini,ZMedian_Age,ZUnderreporting,Zlog_PopDensity,Authoritarianism,Europe,Africa,Asia,SouthA,NorthA,Mortality.Likelihood,Total_Cases,Total_Deaths
Ireland,Ireland,-0.136597718,20,70,77771.21,4.718019342,1.9765,31.9,20,,Europe,33,Ireland,-2.108161687,2.869989742,-1.52688003,-0.396095306,0.771760627,-1.56395124,0.156891492,1.084665147,1.880374983,0.288955311,1.176498481,3.005796511,-0.707389284,-1.020869265,-0.51134775,-0.145133957,0,1,0,0,0,0,0.031637966,4994,158
Bosnia and Herzegovi,Bosnia and Herzegovina,-1.173635854,42.1,64,5741.76,2.53633299,1.101,33.1,13,,Europe,23,Bosnia and Herzegovi,-1.395926323,2.033391939,,-1.433133442,-0.265277509,-2.600989376,2.053871464,-1.097021205,-0.301311369,-1.892731041,1.203455524,-0.50671211,-0.551941441,0.558985991,-0.74459643,-0.203556176,0,1,0,0,0,0,0.034074074,675,23
Chi,China,0.605901939,37.4,148,10098.87,4.006861266,0.96986,38.6,33,1,South America,96,Chi,-8.63528744,2.919775022,,0.346404351,1.514260284,-0.821451583,0.119995974,0.373507071,1.169216907,-0.422202765,0.139507532,-0.294238095,0.160527837,0.222998674,-0.078171629,0.345353649,1,0,0,0,1,0,0.040762101,81669,3329
Mexico,Mexico,-0.892340456,28.2,66,10118.17,3.109504047,0.59966,43.4,17,,North America,28,Mexico,-5.587872027,2.330290289,,-1.151838044,0.016017889,-2.319693978,1.32673088,-0.523850148,0.271859688,-1.319559984,0.274418978,-0.293296933,0.782319208,-0.434678627,-0.61131147,-0.183503469,0,0,0,0,0,1,0.041798942,1890,79
Peru,Peru,-1.051575327,28,26,7046.79,2.80518837,1.1605,43.8,16,,South America,28,Peru,-3.902878045,2.245652967,,-1.311072915,-0.143216982,-2.478928849,1.718912189,-0.828165825,-0.032455989,-1.623875661,0.685858634,-0.443072458,0.834135155,-0.44897596,-0.64463271,-0.784883034,0,0,0,0,1,0,0.041809851,1746,73
Greece,Greece,-1.032745526,44.5,79,19974.37,2.762990227,0.7853,35.8,16,,Europe,36,Greece,-3.294938051,2.300857041,,-1.292243114,-0.124387181,-2.460099048,1.669892267,-0.870363968,-0.074654132,-1.666073804,0.757533437,0.187339633,-0.202183795,0.730553983,-0.64463271,-0.066163558,0,1,0,0,0,0,0.042074928,1735,73
Hungary,Hungary,-1.587321602,42.3,104,17463.28,2.902592433,1.2629,30.9,15,1,Europe,30,Hungary,-1.999346984,1.920544268,-0.740183151,-1.84681919,-0.678963257,-3.014675124,3.410741122,-0.730761762,0.064948074,-1.526471598,0.534012753,0.064886591,-0.836929152,0.573283324,-0.67795395,0.113771903,1,1,0,0,0,0,0.04638472,733,34
Ecuador,Ecuador,-0.498395416,27.7,64,6249.39,2.879376765,1.8341,45,14,,South America,30,Ecuador,-4.286729447,2.647371355,,-0.757893004,0.409962929,-1.925748938,0.574401806,-0.75397743,0.041732406,-1.549687266,0.568481965,-0.481957586,0.989582998,-0.470421959,-0.71127519,-0.203556176,0,0,0,0,1,0,0.04963925,3465,172
Sweden,Sweden,1.321119184,41.2,22,51241.91,,2.0992,27.2,14,,Europe,64,Sweden,-15.91672812,2.997745981,7.601587282,1.061621596,2.229477529,-0.106234338,1.127040412,,,,,1.712097962,-1.316226667,0.494647994,-0.71127519,-0.890979951,0,1,0,0,0,0,0.058711567,6830,401
Iran,Iran,0.734617378,30.3,51,5506.23,3.145049375,1.9021,38.8,9.9,1,Asia,45,Iran,-5.896437842,3.027943443,0.922817196,0.47511979,1.642975723,-0.692736144,0.225738814,-0.48830482,0.307405016,-1.284014656,0.238441597,-0.518197706,0.186435811,-0.284556634,-0.847892274,-0.351207738,1,0,0,1,0,0,0.061879573,58226,3603
Trinidad and Tobago,Trinidad and Tobago,-0.557723473,36,273,16365.64,3.20767521,1.5638,40.3,,,North America,23,Trinidad and Tobago,-1.09734557,1.742081183,,-0.817221061,0.350634872,-1.985076995,0.667850263,-0.425678985,0.370030851,-1.221388821,0.181202598,0.011360291,0.380745614,0.122917346,,0.748442351,0,0,0,0,0,1,0.067307692,104,7
Indonesia,Indonesia,1.527219314,30.2,144,4163.76,3.922269861,0.52292,38.1,5.3,,Asia,27,Indonesia,-5.089854594,2.308420055,-0.578957899,1.267721726,2.435577659,0.099865792,1.607118374,0.288915666,1.084625502,-0.50679417,0.083472262,-0.583663116,0.095757903,-0.291705301,-1.001169979,0.327347404,0,0,0,1,0,0,0.087109547,2273,198
Spain,Spain,-1.062267578,42.7,92,29961.11,3.216561508,2.4508,36,5.4,,Europe,64,Spain,-16.45476092,3.955317033,5.033192898,-1.321765166,-0.153909233,-2.4896211,1.747063155,-0.416792687,0.378917149,-1.212502523,0.173716144,0.674341968,-0.176275821,0.601877989,-0.997837855,0.033468798,0,1,0,0,0,0,0.094968606,130759,12418
Netherlands,Netherlands,-1.070535119,42.6,409,52367.85,4.944898864,2.06653,28.6,5.9,,Europe,37,Netherlands,-3.562240951,3.022862099,-0.773723314,-1.330032707,-0.162176774,-2.497888641,1.768987003,1.311544669,2.107254505,0.515834833,1.720149419,1.767004309,-1.134870851,0.594729323,-0.981177235,1.015122114,0,1,0,0,0,0,0.098930032,17851,1766
United Kingdom,United Kingdom,-0.243066177,40.5,279,41030.23,4.823960274,1.7259,34.1,5.4,,Europe,65,United Kingdom,-12.92152464,2.950681998,3.982635608,-0.502563765,0.665292168,-1.670419699,0.252570338,1.190606079,1.986315915,0.394896243,1.417542835,1.214126451,-0.422401572,0.44460733,-0.997837855,0.762775519,0,1,0,0,0,0,0.103208802,47806,4934
Algeria,Algeria,1.742730328,28.1,18,3980.12,3.274635201,0.73,27.6,6.8,,Africa,34,Algeria,-6.187327707,2.406516299,,1.48323274,2.651088673,0.315376806,2.19997936,-0.358718994,0.436990842,-1.15442883,0.128679317,-0.592618301,-1.264410719,-0.441827293,-0.951188119,-1.017399038,0,0,1,0,0,0,0.115151515,1320,152
Italy,Italy,-0.265834655,45.5,201,32946.52,2.201114318,2.27202,34.7,5.8,,Europe,65,Italy,-0.223815277,3.962264338,-10.24203805,-0.525332243,0.64252369,-1.693188177,0.275973966,-1.432239877,-0.636530041,-2.227949713,2.051311065,0.819925176,-0.344677651,0.802040646,-0.984509359,0.546719669,0,1,0,0,0,0,0.123204703,128948,15887
Botswa,Botswana,1.865904363,24.5,,,,,,,,Africa,4,Botswa,0.291771854,0.21081507,,1.606406775,2.774262708,0.438550841,2.580542726,,,,,,,-0.699179281,,,0,0,1,0,0,0,0.166666667,6,1
Portugal,Portugal,0.295052743,42.2,111,23030.79,3.228849265,2.0539,35.6,18,,Europe,33,Portugal,-3.875011923,2.892103853,,0.035555155,1.203411088,-1.132300779,0.001264169,-0.40450493,0.391204906,-1.200214766,0.163624238,0.336385636,-0.228091769,0.566134658,-0.57799023,0.156476312,0,1,0,0,0,0,0.02615712,11278,295
Afghanistan,Afghanistan,,,60,513.108,,0.5149,,,,Asia,30,Afghanistan,-5.904016399,2.063881438,,,,,,,,,,-0.76168678,,,,-0.245582277,0,0,0,1,0,0,0.020771513,337,7
Albania,Albania,,,100,5372.74,,1.15264,,,,Europe,27,Albania,-0.446399857,1.506600992,,,,,,,,,,-0.524707332,,,,0.088072025,0,1,0,0,0,0,0.055401662,361,20
Andorra,Andorra,,,165,,,1.6794,,,,Europe,22,Andorra,2.211650094,2.161807379,,,,,,,,,,,,,,0.416843475,0,1,0,0,0,0,0.035928144,501,18
Angola,Angola,,,26,3037.98,,,,,1,Africa,14,Angola,-3.340855992,0.686378796,,,,,,,,,,-0.63856166,,,,-0.784883034,1,0,1,0,0,0,0.142857143,14,2
Antigua and Barbuda,Antigua and Barbuda,,,222,18109.1,,0.4293,,,,North America,16,Antigua and Barbuda,1.511679187,1.0991628,,,,,,,,,,0.096379936,,,,0.612163376,0,0,0,0,0,1,,,
Azerbaijan,Azerbaijan,,31.3,117,4689.38,3.804714013,0.869,31.8,,1,Asia,29,Azerbaijan,-3.373163516,1.932057317,,,,,,0.171359818,0.967069654,-0.624350018,0.029364187,-0.558031311,-0.72034327,-0.213069971,,0.191007035,1,0,0,1,0,0,0.011986301,584,7
Bahamas,Bahamas,,,28,33261.32,,0.8038,,,,North America,18,Bahamas,0.487733674,1.149570278,,,,,,,,,,0.835276365,,,,-0.737599446,0,0,0,0,0,1,0.172413793,29,5
Bahrain,Bahrain,,32.3,2224,25273.15,4.501680145,1.28984,,,1,Asia,40,Bahrain,-0.156980367,1.625550107,0.031112935,,,,,0.86832595,1.664035786,0.072616114,0.753989955,0.445734087,,-0.141583308,,2.134272597,1,0,0,1,0,0,0.005730659,698,4
Bangladesh,Bangladesh,,,1116,1905.72,2.852616337,,,,,Asia,21,Bangladesh,-4.525793838,1.188464278,,,,,,-0.780737858,0.014971978,-1.576447694,0.609551603,-0.693776201,,,,1.678296048,0,0,0,1,0,0,0.102272727,88,9
Barbados,Barbados,,,668,18069.38,,1.6401,,,,North America,18,Barbados,0.91110576,1.489205925,,,,,,,,,,0.094442994,,,,1.339102692,0,0,0,0,0,1,0.017857143,56,1
Belarus,Belarus,,,46,6603.92,,0.74257,,,1,Europe,29,Belarus,-4.818633622,1.969073537,1.154793763,,,,,,,,,-0.464668968,,,,-0.418101894,1,1,0,0,0,0,0.014234875,562,8
Belgium,Belgium,,41.4,380,45175.59,3.925032421,2.01442,28.1,7.4,,Europe,61,Belgium,-16.47263362,3.242663332,7.550905869,,,,,0.291678226,1.087388062,-0.50403161,0.085076188,1.416274499,-1.199640785,0.508945327,-0.931195375,0.966582099,0,1,0,0,0,0,0.073485349,19691,1447
Benin,Benin,,,108,1216.63,3.328764165,,,,,Africa,19,Benin,-3.18635591,1.008520909,,,,,,-0.30459003,0.491119806,-1.100299866,0.092775086,-0.727379603,,,,0.13851081,0,0,1,0,0,0,0,22,0
Bermuda,Bermuda,,,1153,,,0.8925,,,,North America,16,Bermuda,2.714556602,1.28112753,,,,,,,,,,,,,,1.699858926,0,0,0,0,0,1,0,32,0
Bhutan,Bhutan,,27.6,20,3423.05,4.155651468,0.3079,38.7,,,Asia,22,Bhutan,-0.427203326,0.665087007,,,,,,0.522297273,1.318007109,-0.273412563,0.272794441,-0.619783762,0.173481824,-0.477570625,,-0.951174947,0,0,0,1,0,0,0,5,0
Bolivia,Bolivia,,24.3,11,3670.96,3.185075937,0.6523,45.8,,,South America,23,Bolivia,-2.245147681,1.408966761,,,,,,-0.448278258,0.347431578,-1.243988094,0.200953397,-0.607694456,1.093214893,-0.713476613,,-1.321466379,0,0,0,0,1,0,0.06010929,183,11
Brunei,Brunei,,,76,27871.45,,1.4795,,,,Asia,25,Brunei,2.235274593,1.184145879,,,,,,,,,,0.572439916,,,,-0.091454102,0,0,0,1,0,0,0.007407407,135,1
